Silence_resp.keys,Silence_resp.rt,Consent_resp.keys,Consent_resp.rt,Lang_resp.keys,Lang_resp.rt,Race_resp.keys,Race_resp.rt,xxx.thisRepN,xxx.thisTrialN,xxx.thisN,xxx.thisIndex,xxx.ran,participant,date,expName,psychopyVersion,OS,frameRate,OGTIns1_resp.keys,OGTIns1_resp.rt,Missing_resp.keys,face_trials.thisRepN,face_trials.thisTrialN,face_trials.thisN,face_trials.thisIndex,face_trials.ran,missingPerson,sex,name,PMIns1_resp.keys,PM_INS_LOOP.thisRepN,PM_INS_LOOP.thisTrialN,PM_INS_LOOP.thisN,PM_INS_LOOP.thisIndex,PM_INS_LOOP.ran,FinalRecalIns_resp.keys,FinalRecalIns_resp.rt,finalrecall_subid,finalrecall_date,finalrecall_exp,finalrecall_cond,finalrecall_word,finalcuerecall_trialCounter,finalrecall_typedWord,finalrecall_wordRT,finalrecall_recallList,finalrecall_startTrial,finalrecall_endTrial,finalrecall_elapsedTime,finalrecall_startRecallTime,FinalRecall_Loop.thisRepN,FinalRecall_Loop.thisTrialN,FinalRecall_Loop.thisN,FinalRecall_Loop.thisIndex,FinalRecall_Loop.ran,OGT_resp.keys,OGT_resp.corr,OGT_resp.rt,ogt_subid,ogt_date,ogt_exp,ogt_cond,ogt_trialnum,ogt_word,ogt_img,ogt_class,ogt_color,ogt_cue,ogt_resp,ogt_rt,OGTWaiting_resp.keys,OGTWaiting_resp.rt,OGTWait_resp,OGTWait_rt,OGT_trials.thisRepN,OGT_trials.thisTrialN,OGT_trials.thisN,OGT_trials.thisIndex,OGT_trials.ran,Word,OldWord,OldStimClass,StimClass,CorrAns,StimColor,Wordlist_Ogg,Wordlist_MP3,Trial,Cue,imageFile,iposX,iposY,StimDir,EmotClass,FaceNum,imageFile1,imageFile2,imageFile3,imageFile4,OGT_Loop.thisRepN,OGT_Loop.thisTrialN,OGT_Loop.thisN,OGT_Loop.thisIndex,OGT_Loop.ran,studyFaceList,Recog_Ins_resp.keys,Recog_Ins_resp.rt,Recog_resp.keys,Recog_resp.rt,recog_subid,recog_date,recog_exp,recog_cond,recog_race,recog_lang,recog_trialnum,recog_word,recog_img,recog_resp,recog_rt,recog_studyList,recog_studyList0,recog_studyList1,recog_studyList2,recog_listPos,recog_listNeg,recog_listHO,recog_listHC,recog_listA,recog_listF,Recog_LOOP.thisRepN,Recog_LOOP.thisTrialN,Recog_LOOP.thisN,Recog_LOOP.thisIndex,Recog_LOOP.ran,ImageFile1,Debrief_resp.keys,Debrief_resp.rt,Thankyou_resp.keys,EXP.thisRepN,EXP.thisTrialN,EXP.thisN,EXP.thisIndex,EXP.ran
space,11.358,y,34.629,n,4.951,5,3.554,0,0,0,0,1,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,space,16.722,,0,0,0,1,1,CFD-BF-250-121-N-resized.jpg,Female,Stacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,space,0.55,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,TENT,1,TENT,2.033,"[""TENT""]",107.74,109.773,2.034,107.739,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,FLASHLIGHT,2,FLASHLIGHT,4.617,"[""TENT"",""FLASHLIGHT""]",109.774,114.391,6.652,107.739,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,FOOD,3,FOOD,1.534,"[""TENT"",""FLASHLIGHT"",""FOOD""]",114.391,115.925,8.186,107.739,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,FIRE,4,FIRE,0.683,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE""]",115.925,116.608,8.869,107.739,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,SMORES,5,SMORES,1.018,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES""]",116.608,117.626,9.887,107.739,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,DIRT,6,DIRT,3.55,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT""]",117.626,121.176,13.437,107.739,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,DIRTY,7,DIRTY,3.585,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY""]",121.176,124.761,17.022,107.739,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
