Silence_resp.keys,Silence_resp.rt,Consent_resp.keys,Consent_resp.rt,Lang_resp.keys,Lang_resp.rt,Race_resp.keys,Race_resp.rt,xxx.thisRepN,xxx.thisTrialN,xxx.thisN,xxx.thisIndex,xxx.ran,participant,date,expName,psychopyVersion,OS,frameRate,OGTIns1_resp.keys,OGTIns1_resp.rt,Missing_resp.keys,face_trials.thisRepN,face_trials.thisTrialN,face_trials.thisN,face_trials.thisIndex,face_trials.ran,missingPerson,sex,name,PMIns1_resp.keys,PM_INS_LOOP.thisRepN,PM_INS_LOOP.thisTrialN,PM_INS_LOOP.thisN,PM_INS_LOOP.thisIndex,PM_INS_LOOP.ran,FinalRecalIns_resp.keys,FinalRecalIns_resp.rt,finalrecall_subid,finalrecall_date,finalrecall_exp,finalrecall_cond,finalrecall_word,finalcuerecall_trialCounter,finalrecall_typedWord,finalrecall_wordRT,finalrecall_recallList,finalrecall_startTrial,finalrecall_endTrial,finalrecall_elapsedTime,finalrecall_startRecallTime,FinalRecall_Loop.thisRepN,FinalRecall_Loop.thisTrialN,FinalRecall_Loop.thisN,FinalRecall_Loop.thisIndex,FinalRecall_Loop.ran,OGT_resp.keys,OGT_resp.corr,OGT_resp.rt,ogt_subid,ogt_date,ogt_exp,ogt_cond,ogt_trialnum,ogt_word,ogt_img,ogt_class,ogt_color,ogt_cue,ogt_resp,ogt_rt,OGTWaiting_resp.keys,OGTWaiting_resp.rt,OGTWait_resp,OGTWait_rt,OGT_trials.thisRepN,OGT_trials.thisTrialN,OGT_trials.thisN,OGT_trials.thisIndex,OGT_trials.ran,Word,OldWord,OldStimClass,StimClass,CorrAns,StimColor,Wordlist_Ogg,Wordlist_MP3,Trial,Cue,imageFile,iposX,iposY,StimDir,EmotClass,FaceNum,imageFile1,imageFile2,imageFile3,imageFile4,OGT_Loop.thisRepN,OGT_Loop.thisTrialN,OGT_Loop.thisN,OGT_Loop.thisIndex,OGT_Loop.ran,studyFaceList,Recog_Ins_resp.keys,Recog_Ins_resp.rt,Recog_resp.keys,Recog_resp.rt,recog_subid,recog_date,recog_exp,recog_cond,recog_race,recog_lang,recog_trialnum,recog_word,recog_img,recog_resp,recog_rt,recog_studyList,recog_studyList0,recog_studyList1,recog_studyList2,recog_listPos,recog_listNeg,recog_listHO,recog_listHC,recog_listA,recog_listF,Recog_LOOP.thisRepN,Recog_LOOP.thisTrialN,Recog_LOOP.thisN,Recog_LOOP.thisIndex,Recog_LOOP.ran,ImageFile1,Debrief_resp.keys,Debrief_resp.rt,Thankyou_resp.keys,EXP.thisRepN,EXP.thisTrialN,EXP.thisN,EXP.thisIndex,EXP.ran
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,SLEEPINGBAG,8,SLEEPINGBAG,3.084,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY"",""SLEEPINGBAG""]",124.761,127.845,20.106,107.739,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,COOLER,9,COOLER,1.218,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY"",""SLEEPINGBAG"",""COOLER""]",127.845,129.063,21.324,107.739,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,COOKINGSTOVE,10,COOKINGSTOVE,4.734,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY"",""SLEEPINGBAG"",""COOLER"",""COOKINGSTOVE""]",129.063,133.797,26.058,107.739,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,STICKS,11,STICKS,1.951,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY"",""SLEEPINGBAG"",""COOLER"",""COOKINGSTOVE"",""STICKS""]",133.797,135.748,28.009,107.739,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,JACKET,12,JACKET,2.968,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY"",""SLEEPINGBAG"",""COOLER"",""COOKINGSTOVE"",""STICKS"",""JACKET""]",135.748,138.716,30.977,107.739,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,SWEATPANTS,13,SWEATPANTS,2.033,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY"",""SLEEPINGBAG"",""COOLER"",""COOKINGSTOVE"",""STICKS"",""JACKET"",""SWEATPANTS""]",138.716,140.749,33.009,107.739,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,AHT,14,AHT,1.368,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY"",""SLEEPINGBAG"",""COOLER"",""COOKINGSTOVE"",""STICKS"",""JACKET"",""SWEATPANTS"",""AHT""]",140.749,142.117,34.378,107.739,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,HAT,15,HAT,0.917,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY"",""SLEEPINGBAG"",""COOLER"",""COOKINGSTOVE"",""STICKS"",""JACKET"",""SWEATPANTS"",""AHT"",""HAT""]",142.117,143.034,35.295,107.739,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,WARMCLOTHES,16,WARMCLOTHES,2.067,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY"",""SLEEPINGBAG"",""COOLER"",""COOKINGSTOVE"",""STICKS"",""JACKET"",""SWEATPANTS"",""AHT"",""HAT"",""WARMCLOTHES""]",143.034,145.101,37.362,107.739,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,HIKINGBOOTS,17,HIKINGBOOTS,4.552,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY"",""SLEEPINGBAG"",""COOLER"",""COOKINGSTOVE"",""STICKS"",""JACKET"",""SWEATPANTS"",""AHT"",""HAT"",""WARMCLOTHES"",""HIKINGBOOTS""]",145.101,149.653,41.914,107.739,16,0,16,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,BOOTS,18,BOOTS,1.166,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY"",""SLEEPINGBAG"",""COOLER"",""COOKINGSTOVE"",""STICKS"",""JACKET"",""SWEATPANTS"",""AHT"",""HAT"",""WARMCLOTHES"",""HIKINGBOOTS"",""BOOTS""]",149.653,150.819,43.08,107.739,17,0,17,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,SNEAKERS,19,SNEAKERS,1.118,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY"",""SLEEPINGBAG"",""COOLER"",""COOKINGSTOVE"",""STICKS"",""JACKET"",""SWEATPANTS"",""AHT"",""HAT"",""WARMCLOTHES"",""HIKINGBOOTS"",""BOOTS"",""SNEAKERS""]",150.819,151.937,44.198,107.739,18,0,18,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,FIRE,20,FIRE,6.767,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY"",""SLEEPINGBAG"",""COOLER"",""COOKINGSTOVE"",""STICKS"",""JACKET"",""SWEATPANTS"",""AHT"",""HAT"",""WARMCLOTHES"",""HIKINGBOOTS"",""BOOTS"",""SNEAKERS"",""FIRE""]",151.938,158.705,50.966,107.739,19,0,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,CAMPINGFOOD,21,CAMPINGFOOD,7.536,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY"",""SLEEPINGBAG"",""COOLER"",""COOKINGSTOVE"",""STICKS"",""JACKET"",""SWEATPANTS"",""AHT"",""HAT"",""WARMCLOTHES"",""HIKINGBOOTS"",""BOOTS"",""SNEAKERS"",""FIRE"",""CAMPINGFOOD""]",158.705,166.241,58.502,107.739,20,0,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,HOTDOGS,22,HOTDOGS,1.401,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY"",""SLEEPINGBAG"",""COOLER"",""COOKINGSTOVE"",""STICKS"",""JACKET"",""SWEATPANTS"",""AHT"",""HAT"",""WARMCLOTHES"",""HIKINGBOOTS"",""BOOTS"",""SNEAKERS"",""FIRE"",""CAMPINGFOOD"",""HOTDOGS""]",166.241,167.642,59.903,107.739,21,0,21,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,,23,,0.099,"[""TENT"",""FLASHLIGHT"",""FOOD"",""FIRE"",""SMORES"",""DIRT"",""DIRTY"",""SLEEPINGBAG"",""COOLER"",""COOKINGSTOVE"",""STICKS"",""JACKET"",""SWEATPANTS"",""AHT"",""HAT"",""WARMCLOTHES"",""HIKINGBOOTS"",""BOOTS"",""SNEAKERS"",""FIRE"",""CAMPINGFOOD"",""HOTDOGS"",""""]",167.643,167.742,60.003,107.739,22,0,22,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.772,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,1,,CFD-BF-049-042-F-resized.jpg,Neg,purple,0,f,0.772,space,1.112,space,1.112,0,0,0,35,1,,muffler,,Neg,f,purple,GRASS.ogg,GRASS.mp3,36,0,CFD-BF-049-042-F-resized.jpg,0,0,,F,10,CFD-BF-049-042-F-resized.jpg,CFD-BF-024-030-F-resized.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.528,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,2,,CFD-BM-021-009-HC-resized.jpg,Pos,green,0,j,0.528,space,0.471,space,0.471,0,1,1,72,1,,zzzz,,Pos,j,green,MIRROR.ogg,MIRROR.mp24,73,0,CFD-BM-021-009-HC-resized.jpg,0,0,,HC,8,CFD-BM-021-009-HC-resized.jpg,CFD-BM-037-038-HC-resized.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.79,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,3,,CFD-BF-041-047-A-resized.jpg,Neg,orange,0,f,0.79,space,0.398,space,0.398,0,2,2,50,1,,atout,,Neg,f,orange,MINUTE.ogg,MINUTE.mp3,51,0,CFD-BF-041-047-A-resized.jpg,0,0,,A,12,CFD-BF-041-047-A-resized.jpg,CFD-BF-027-008-A-resized.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,0,0.783,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,4,,CFD-BF-041-018-F-resized.jpg,Neg,blue,0,j,0.783,space,0.441,space,0.441,0,3,3,37,1,,pinball,,Neg,f,blue,GREET.ogg,GREET.mp3,38,0,CFD-BF-041-018-F-resized.jpg,0,0,,F,12,CFD-BF-041-018-F-resized.jpg,CFD-BF-027-016-F-resized.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.73,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,5,,CFD-BF-013-005-HC-resized.jpg,Pos,green,0,j,0.73,space,0.401,space,0.401,0,4,4,20,1,,lapaxer,,Pos,j,green,FIXED.ogg,FIXED.mp3,21,0,CFD-BF-013-005-HC-resized.jpg,0,0,,HC,8,CFD-BF-013-005-HC-resized.jpg,CFD-BF-021-015-HC-resized.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.675,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,6,,CFD-BM-026-006-HC-resized.jpg,Pos,blue,0,j,0.675,space,0.299,space,0.299,0,5,5,77,1,,zzzz,,Pos,j,blue,MIRROR.ogg,MIRROR.mp29,78,0,CFD-BM-026-006-HC-resized.jpg,0,0,,HC,13,CFD-BM-026-006-HC-resized.jpg,CFD-BM-046-042-HC-resized.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13570,2020-09-30_14h30.57.246,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.642,13570,2020-09-30_14h30.57.246,pmfbcont,pmface-cont-black,7,,CFD-BM-023-039-F-resized.jpg,Neg,purple,0,f,0.642,space,0.315,space,0.315,0,6,6,87,1,,zzzz,,Neg,f,purple,MIRROR.ogg,MIRROR.mp39,88,0,CFD-BM-023-039-F-resized.jpg,0,0,,F,10,CFD-BM-023-039-F-resized.jpg,CFD-BM-039-044-F-resized.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
